created_at;LT;LB;KT;KM;garasi;carport;lokasi;sertifikat;listrik;hadap;harga;URL;deskripsi;bekasi;created_at;LT;LB;KT;KM;garasi;carport;lokasi;sertifikat;listrik;hadap;harga;URL;deskripsi;bogor;created_at;LT;LB;KT;KM;garasi;carport;lokasi;sertifikat;listrik;hadap;harga;URL;deskripsi;jakarta;created_at;LT;LB;KT;KM;garasi;carport;lokasi;sertifikat;listrik;hadap;harga;URL;deskripsi;tangerang
08/12/2021;71;43;2;1;;1;Kabupaten Bekasi;SHM;1300;;550000000;Rumah murah di metland cibitung bekasi - Dijual: Rumah & Apartemen - 840087312 (olx.co.id);Selangkah ke stasiun krl telaga murni, Dekat dengan kawasan industri mm 2100, gobel, jababeka, ejip dan tol baru yaitu toll jorr 2 cilincing dan cimanggis,segera dibangun mall di dalam kawasan metland cibitung, dekat dengan rs. hermina yang berada di dalam kawasan metland cibitung, sistem keamanan 24 jam cctv, air bersih dan kencang wtp aetra, listrik token 1300watt, dan di kelola oleh badan pengelola lingkungan bpl kebersihan terpadu;;03/12/2021;75;38;2;1;1;1;Bojonggede;SHM;1300;Barat;692550000;https://rumahdijual.com/bekasi/10799791-rumah-cluster-bhumiland-strategis-bebas-banjir-di-jati-warna.html;Dekat tol jati warna, dekat sutle busway, dekat pusat perbelanjaan;;06/12/2021;202;198;8;3;;;Jakarta Pusat;SHM;2200;;4500000000;https://www.rumah.com/listing-properti/dijual-rumah-dijual-menteng-jakarta-pusat-murah-sekali-dekat-cikini-salemba-taman-ismail-marzuki-kampus-ui-oleh-ika-indayanti-19239760;Dekat Cikini Salemba Taman Isamail Marzuki Kampus Universitas Indonesia UI YAI RSCM dan RS. PGI Cikini;;12/06/2021;60;50;3;2;;;BSD CITY, TANGERANG;SHM;1300;Selatan;500;https://www.rumah123.com/properti/tangerang/hos9276294/;Rumah 2 Lantai Akses Strategis, Keamanan 24jam,One gate system. Memiliki fasilitas terdekat yaitu,15 Menit Stasiun rawa buntu,10 Menit Stasiun sudimara, 5 Menit Tol BSD Tol Jorr, 15 Menit Mall AEON, 10 Menit Rs Eka Hospital, 3 Menit RSIA BUAH HATI, 3 Menit RS permata pamulang, 8 Menit RSUD TANGSEL, 5 Menit Kantor WALIKOTA, Akses zonasi sekolah SMAN 2 TANGSEL;
08/12/2021;59;60;2;1;;1;Kabupaten Bekasi;SHM;;;440000000;Rumah dijual di Griya gandasari cibitung - Dijual: Rumah & Apartemen - 840088652 (olx.co.id);Rumah sangat nyaman,dan terbukti bebas banjir, Lokasi perumahan juga sangat strategis. keamanan 24 jam (akses keluar masuk satu pintu), lokasi sangat strategis karna dekat dengan Jl. raya Pantura, Ramayana, Minimarket, Kawasan Industri, Toll Cibitung, Pasar tradisional.;;06/12/2021;60;40;1;1;0;1;Babakan Madang;SHM;2200;;811400000;https://www.rumah123.com/perumahan-baru/properti/bogor/adhi-city-Babakan Madang/nps1964/;"Destinasi menarik di kawasan Babakan Madang; Gunung Pancar, Taman Budaya, Babakan Madang Highland, JungleLand, Stadion Pakansari, Leuwi Hejo";;02/12/2021;30;55;2;1;;1;Jakarta Pusat;SHM;2200;;1100000000;https://www.rumah.com/listing-properti/dijual-rumah-murah-cempaka-putih-jakarta-pusat-oleh-irwan-18848789;Mengusung konsep minimalis, dan didukung dengan lingkungan yang tenang dan lokasi yang sangat strategis area Jakarta Pusat;;12/06/2021;72;54;2;1;1;1;CISAUK, TANGERANG;SHM;1300;;480;https://www.rumah123.com/properti/tangerang/hos2510851/;"lokasi strategis dekat gading serpong, dekat aeon mall, dekat kampus Atmajaya, dekat bsd, dekat stasiun cisauk, dekat pasar modern, dekat pom bensin. Harga 480 juta nego tipis
hub waty
hp/wa 0878 8644 3xxx
081381626xxx
Sagentus indonesia";
08/12/2021;124;95;2;1;;1;Kabupaten Bekasi;SHM;;;699000000;Jual cepat rumah huuk di metland cibitung bekasi - Dijual: Rumah & Apartemen - 840592462 (olx.co.id);Bebas banjir, Carport dan tanah luas ada taman nya ,tempat sejuk, Pasilitas di Metland Cibitung, Deket dengan stasiun, Deket dengan Rumah sakit, Deket dengan sekolah TK SMP ,SMA , waaaaooooo bget fasilitas nya, TDK harus pergi jauh cari sekolah,  Deket dengan pertokoan juga ,,,seru dan pas bsnget kl punya rmh di Metland Cibitung , penasaran kan jgn LP wa yaaa di tunggu, INFO LEBIH LANJUT HUBUNGI;;06/12/2021;60;50;2;2;0;1;Babakan Madang;SHM;2200;;900500000;https://www.rumah123.com/perumahan-baru/properti/bogor/adhi-city-Babakan Madang/nps1964/;"Destinasi menarik di kawasan Babakan Madang; Gunung Pancar, Taman Budaya, Babakan Madang Highland, JungleLand, Stadion Pakansari, Leuwi Hejo";;06/12/2021;19;35;2;1;;;Jakarta Pusat;SHM;2200;;395000000;https://www.rumah.com/listing-properti/dijual-cluster-kalibaru-timur-senen-jakarta-pusat-oleh-irwan-19347642;Dekat dengan Mall Atrium Senen, dekat dengan area Kemayoran, dan dikelilingi lokasi Cempaka Putih, Gunung Sahari, dan Kwitang-Salemba;;12/06/2021;60;48;3;2;2;2;CILEDUG, TANGERANG;SHM;2200;;600;https://www.rumah123.com/properti/tangerang/hos9292316/;"Boston Village Bintaro, Cluster dengan konsep free design suka-suka, lokasi strategis dekat akses toll dan stasiun. Promo khusus minggu ini sebelum naik harga, payment only, dekat pasar modern BSD, teras kota, ocean park BSD, Sekolah Santa Ursula , Al-Azhar, RS Eka Hospital, Bunda Dalima, Medika BSD dan RIS Hospital. Promo Super Menarik Pembelian Unit Di Minggu Ini
Info Hubungi
Ahmad Bustomi Hardi / Tommy
";
08/12/2021;144;100;2;1;;1;Kabupaten Bekasi;SHM;2200;Selatan;1350000000;https://www.realoka.com/216243-rumah-rapi-siap-huni-cluster-aralia-perumahan-harapan-indah-bekasi;"(Harapan Indah) Cluster Aralia Kota Harapan Indah, Desa Pusaka Rakyat, Kecamatan Tarumajaya, Kabupaten Bekasi 17214
Harga jual : Rp. 1.350.000.000,- Nego
Sertifikat Hak Milik
Luas tanah: 144 m2 (8x18 meter); Luas bangunan: 100 m2; Jumlah lantai: 1 lantai
Kamar tidur: 2+1 kamar tidur; Kamar mandi: 1+1 kamar mandi; Carport: 1 mobil; Listrik: 2200 watt; Sumber air: PDAM; Bangunan menghadap: Selatan
~ Bangunan Rumah rapi dan siap huni
~ Lingkungan nyaman dan aman
~ Jalan depan rumah lebar bisa 3 mobil
~ Cluster One Gate System, kemanan 24 jam
~ Tidak banjir
~ Bisa KPR";;06/12/2021;60;70;3;2;0;1;Babakan Madang;SHM;2200;;1001900000;https://www.rumah123.com/perumahan-baru/properti/bogor/adhi-city-Babakan Madang/nps1964/;"Destinasi menarik di kawasan Babakan Madang; Gunung Pancar, Taman Budaya, Babakan Madang Highland, JungleLand, Stadion Pakansari, Leuwi Hejo";;06/12/2021;33;42;2;2;;1;Jakarta Pusat;SHM;2200;;835000000;https://www.rumah.com/listing-properti/dijual-rumah-mewah-kwitang-jakarta-pusat-termurah-oleh-irwan-19207556;Berlokasi sangat strategis, sangat dekat ke Tugu Tani ataupun ke area ring satu Istana Negara;;12/06/2021;200;225;5;4;;;LIPPO KARAWACI, TANGERANG;SHM;5500;;4250;https://www.rumah123.com/properti/tangerang/hos8607319/;DIJUAL RUMAH BARU SELESAI DIBANGUN, LIPPO KARAWACI CENTRAL CLUSTER TAMAN BROMO memiliki kolam renang, memiliki 2 Lantai, AC 7 unit ;
08/12/2021;108;100;3;2;;1;Kabupaten Bekasi;SHM;2200;Timur;1400000000;https://www.realoka.com/207964-jual-rumah-bagus-siap-huni-cluster-harmoni-harapan-indah-bekasi;"(Harapan Indah) Cluster Harmoni Perumahan Kota Harapan Indah Bekasi, Desa Pusaka Rakyat, Tarumajaya, Kabupaten Bekasi 17214
Harga jual : Rp. 1.400.000.000,- Nego
Sertifikat Hak Milik
Luas tanah: 108 m2; Luas bangunan: 100 m2; Jumlah lantai: 2 Lantai; Kamar tidur: 3 kamar tidur; Kamar mandi: 2 Kamar mandi; Carport: 1 Mobil; Listrik: 2200 watt; Sumber air: PDAM; Bangunan menghadap: Timur
~ Bangunan bagus, rapi dan siap huni
~ Cluster One Gate System, keamanan 24 jam
~ Akses jalan bisa 3 mobil
~ Tidak banjir
~ Bisa KPR";;06/12/2021;90;60;3;2;0;2;Babakan Madang;SHM;2200;;1200800000;https://www.rumah123.com/perumahan-baru/properti/bogor/adhi-city-Babakan Madang/nps1964/;"Destinasi menarik di kawasan Babakan Madang; Gunung Pancar, Taman Budaya, Babakan Madang Highland, JungleLand, Stadion Pakansari, Leuwi Hejo";;06/12/2021;30;55;2;2;;1;Jakarta Pusat;SHM;2200;;1100000000;https://www.rumah.com/listing-properti/dijual-rumah-murah-mewah-di-cempaka-putih-jakarta-pusat-lokasi-strategis-oleh-andi-18520279;Bisa request ubah tata ruang, beli 2 unit mendapat harga spesial;;12/06/2021;76;123;3;3;;2;PONDOK CABE, TANGERANG;SHM;2200;;1700;https://www.rumah123.com/properti/tangerang/hos9292695/;"diapit oleh 3 tol besar, JOR 2, Cinere-Jagorawi, dan Cinere-Serpong. Berlokasi kurang dari 5 menit dengan Lapangan terbang Pondok Cabe, 10 menit ke TransJakarta feedeer,
dan 20 menit ke MRT Lebak Bulus";
08/12/2021;160;230;4;4;1;;Kabupaten Bekasi;SHM;5500;Selatan;1850000000;https://www.realoka.com/208348-rumah-luas-hadap-taman-cluster-aralia-perumahan-harapan-indah-bekasi;"(Harapan Indah) Cluster Aralia Perumahan Kota Harapan Indah, Desa Pusaka Rakyat, Kecamatan Tarumajaya, Kabupaten Bekasi 17214
Harga jual : Rp. 1.850.000.000,- Nego
Sertifikat Hak Milik
Kamar tidur: 4+1 kamar tidur; Kamar mandi: 4+1 kamar mandi; Garasi: Carport 1 Mobil; Luas tanah: 160 m2 (8x20 meter); Luas bangunan: 230 m2; Jumlah lantai: 2 Lantai; Listrik: 5500 watt; Sumber air: PDAM; Bangunan menghadap: Selatan
~ Kondisi Rumah bagus, rapi dan siap huni
~ Cluster One Gate System keamanan 24 jam
~ Rangka atap baja ringan
~ Rumah hadap taman
~ Jalan depan rumah lebar dan 2 lajur
~ Tidak banjir
~ Bisa KPR";;06/12/2021;120;70;3;2;0;2;Babakan Madang;SHM;2200;;1538200000;https://www.rumah123.com/perumahan-baru/properti/bogor/adhi-city-Babakan Madang/nps1964/;"Destinasi menarik di kawasan Babakan Madang; Gunung Pancar, Taman Budaya, Babakan Madang Highland, JungleLand, Stadion Pakansari, Leuwi Hejo";;06/12/2021;217;245;6;4;;2;Jakarta Pusat;SHM;4400;;5500000000;https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-jalan-balikpapan-jakarta-pusat-oleh-yunita-18713364;;;12/06/2021;60;36;2;1;;1;CISAUK, TANGERANG;SHM;1300;;830;https://www.rumah123.com/properti/tangerang/hos9292420/;memiliki fasilitas berupa kolam renang, jogging track, security 24 jam;
08/12/2021;144;157;3;3;;1;Kabupaten Bekasi;HGB;2200;Selatan;2100000000;https://www.realoka.com/215784-rumah-cluster-asera-one-south-perumahan-kota-harapan-indah-bekasi;"(Harapan Indah) Cluster Asera One South, Perumahan Kota Harapan Indah, Desa Pusaka Rakyat, Kecamatan Tarumajaya, Kabupaten Bekasi 17214
Harga jual : Rp. 2.100.000.000,- Nego
Sertifikat Hak Guna Bangunan
Luas tanah: 144 m2 (8x18 meter); Luas bangunan: 157 m2; Jumlah lantai: 2 lantai; Kamar tidur: 3+1 kamar Tidur; Kamar mandi: 3+1 kamar tidur; Listrik: 2200 watt; Sumber air: PDAM; Carport: 1 mobil; Bangunan menghadap: Selatan
~ Kondisi Rumah masih tersewa sampai dengan bulan Agustus 2022
~ Lokasi rumah dekat dengan Pos Kemanan dan Club House
~ Asera One South adalah Cluster Premium dengan desain yang mewah, lingkungan yang nyaman dengan di lengkapi : 1. Security 24 jam; 2. Club house di dalam cluster; 3. Fasilitas taman bermain anak; 4. Listrik underground; 5. Canopy
~ Tidak banjir";;06/12/2021;125;125;3;2;0;2;Babakan Madang;SHM;2200;;1946600000;https://www.rumah123.com/perumahan-baru/properti/bogor/adhi-city-Babakan Madang/nps1964/;"Destinasi menarik di kawasan Babakan Madang; Gunung Pancar, Taman Budaya, Babakan Madang Highland, JungleLand, Stadion Pakansari, Leuwi Hejo";;06/12/2021;424;1000;4;5;1;1;Jakarta Pusat;SHM;33000;Timur;49500000000;https://www.rumah.com/listing-properti/dijual-rumah-mewah-konsep-bintang-5-di-ring-1-menteng-oleh-efendi-tobing-18430678;Rumah mewah berkonsep hotel bintang 5, interior mweah, siap huni, ada rooftop dengan view gedung-gedung pencakar langit dari Kuningan sampai Sudirman, rumah super bersih aman dari serangga dan tikus;;12/06/2021;37;72;2;1;1;1;MAUK, TANGERANG;HGB;2200;;450;https://www.rumah123.com/properti/tangerang/hos9292402/;Memiliki fasilitas berupa jogging track, security 24 jam;
07/12/2021;336;200;4;3;;1;Kabupaten Bekasi;HGB;5500;;4200000000;https://www.99.co/id/properti/rumah-cluster-pasadena-deltamas-cikarang-luas-336200-rp-42-milyar-4-1-kt-3-1-km-siap-huni-49671080874;"Harga Rp 4,2 Miliyar ( Nego ); Luas Tanah 336 m; Luas Bangunan 200 m; 4 + 1 Kamar Tidur; 3 + 1 Kamar Mandi; 2 Lantai; Carport; Taman; Listrik 5.500 Watt
Lokasi paling dekat dengan Fasilitas Swimming Pool Cluster
Row Jalan Lebar
Lokasi terletak di Cluster Pasadena, Zona Amerika, Kota Deltamas , Cikarang Pusat , Kabupaten Bekasi.
Cluster Favourite , Instalasi sudah Under Ground ,dan ada Fasilitas Kolam renang Bagi Penghuni Cluster , One Gate System , Keamanan 24 Jam.
Pengembang Sinar Mas Land. Kota Deltamas Merupakan Residential yang mempunyai akses Tol Langsung Jakarta Cikampek KM 37. Bisa juga melalui Kases Tol 34 Cibatu yang melewwati Meikarta.
Sudah di buka akses ke Lippo Cikarang, Meikarta dan Jababeka.
Sudah Ramai Penduduk, Fasilitas sudah ada Perbankan ( Mandiri, BNI, BJB, BCA dll ) , Hotel, Pusat Pemerintahan Kabupaten Bekasi , Tempat Kuliner, Mc Donald .
Cocok untuk Hunian dan Investasi ( disewakan )";;06/12/2021;97;72;3;2;0;1;Cibinong;SHM;2200;Selatan;1230000000;https://www.rumah123.com/properti/bogor/hos9203763/;"Berada dalam kawasan Pemda,  Hanya 5menit ke CCM, Hanya 10menit dr toll sirkuit
Babakan Madang";;06/12/2021;597;700;5;4;2;5;Jakarta Pusat;SHM;8000;;40000000000;https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-di-menteng-oleh-resmi-chandra-16657618;Lokasi strategis hanya 5 menit ke pusat  kuliner Menteng, RSCM, Kampus YAI, Grand Indonesia, dan pusat bisnis Sudirman;;12/06/2021;72;45;2;1;1;1;SEPATAN, TANGERANG;SHM;1300;Selatan;148;https://www.rumah123.com/properti/tangerang/hos9292346/;Akses Bandara Soekarno-Hatta, Jalan Row 10 meter, Children Playground, Musollah, bebas banjir;
07/12/2021;119;170;5;3;;1;Kabupaten Bekasi;SHM;2200;;975000000;https://www.99.co/id/properti/rumah-riviera-deltamas-cikarang-2-lt-luas-119170-rp-975-jt-5-kt-3-km-72957329047;Rp 975 Jt 2 Lantai Luas Tanah 119 m Luas Bangunan 170 m 5 Kamar Tidur 3 Kamar Mandi Listrik 2.200 Watt Air WTP Kota Deltamas Sertifikat Hak Milik Siap Huni Lokasi di Cluster Riviera, Kota Deltamas, Cikarang Pusat, Kabupaten Bekasi. Satu2nya Cluster yang paling dekat dengan tempat ibadah dan dekat dengan Ruko ruko serta pertokoan yang menjual berbagai makanan, Toko Pakaian, Laundry , Minimarket dan lainnya. Cluster yang paling dekat dengan Sekolah Pangudi Luhur, One Gate System , Keamanan 24 Jam. Pengembang Sinar Mas Land. Kota Deltamas Merupakan Residential yang mempunyai akses Tol Langsung Jakarta Cikampek KM 37. Bisa juga melalui Kases Tol 34 Cibatu yang melewwati Meikarta. Sudah di buka akses ke Lippo Cikarang, Meikarta dan Jababeka. Sudah Ramai Penduduk, Fasilitas sudah ada Perbankan ( Mandiri, BNI, BJB, BCA dll ) , Hotel, Pusat Pemerintahan Kabupaten Bekasi , Tempat Kuliner, Mc Donald .;;06/12/2021;72;33;2;1;0;1;Gunung Putri;SHM;1300;;617000000;https://www.rumah123.com/properti/bogor/hos9150454/;Terletak dilokasi yang strategis sehingga dekat dengan segala fasilitas yang akan menunjang segala kebutuhan sehari hari.;;06/12/2021;60;98;3;3;;1;Jakarta Pusat;SHM;2200;;1700000000;https://www.rumah.com/listing-properti/dijual-rumah-brand-new-3-lantai-lokasi-di-meruya-jakarta-barat-oleh-yadi-19258610;Lokasi strategis di perbatasan Jakarta Barat dan Tangerang, 10 menit ke Toll Karang Tengah, 15 menit ke Toll Kebon Jeruk;;12/06/2021;151;120;2;2;1;1;CIKUPA CITRA JAYA, TANGERANG;SHM;1300;Selatan;760;https://www.rumah123.com/properti/tangerang/hos9292199/;"Lokasi rumah sangat strategis dekat fasilitas pendidikan, mall,Hospital, restoran, dan tempat perbelanjaan (Lengkap dengan Fasilitas),
dekat dengan Universitas ternama ( Universitas ESA Unggul), Area bebas banjir, Harga rumah dijual di Citra Raya sangat bersaing (nilai jual tiap tahun selalu naik),
Potensi kenaikan harga properti per tahunnya (return of investment) 10%";
06/12/2021;102;132;3;2;;1;Kota Bekasi;SHM;1300;;685000000;https://www.rumah123.com/properti/bekasi/hos9290930/;Rumah Siap Huni Aman dan Nyaman, lingkungan yang sangat asri, lokasi bebas banjir dan strategis, Luas Tanah 102 m, Luas Bangunan 132 m, Kamar Tidur 3, Kamar Mandi 2, Rumah 2 Lantai, Lantai Atas Terdapat 1 kamar Tidur, Ruang Cuci, Ruang Setrika dan Tempat Jemuran, Lantai Bawah Terdapat 2 Kamar Tidur, 2 Kamar Mandi, Ruang Tamu, Ruang Keluarga dan Dapur, Baja Ringan, Tembok Bata Merah, Jalanan Cor Muat 3 Mobil, Sertifikat SHM, Harga 685 Juta ( Nego ), Terima Rumah Indent 8 minggu selesai;;06/12/2021;60;30;2;1;0;1;Gunung Putri;SHM;1300;;500000000;https://www.rumah123.com/properti/bogor/hos8947550/;Rumah cantik dengan konsep villa dan dengan nuansa alami di cibubur bogor;;06/12/2021;33;42;2;1;;1;Jakarta Pusat;SHM;2200;;835000000;https://www.rumah.com/listing-properti/dijual-dijual-rumah-mewah-shm-di-kwitang-senen-jakarta-pusat-dekat-tugu-tani-oleh-felicia-wijaya-19281502;Desain menarik dengan konsep Townhouse, akses transportasi umum sangat mudah.;;12/06/2021;160;160;3;2;;;CIKUPA CITRA JAYA, TANGERANG;SHM;3500;Utara;1200;https://www.rumah123.com/properti/tangerang/hos9292171/;Memiliki fasilitas AC, Masjid, Taman, Keamanan, dan Jogging Track;
